region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41,42
,1,,1,,1481,8,444,829,948,,13,,,,,,,,,,270,,,,,,,,,,2,13,,626,
,1,,2,,1299,12,296,730,850,,23,,,,,,,,,,290,,,,,,,,,,1,9,,527,
,1,,3,,1470,10,375,895,1000,,31,,,,,,,,,,326,,,,,,,,,,1,11,,631,
,1,,4,,1178,12,369,744,800,,23,,,,,,,,,,228,,,,,,,,,,4,18,,527,
,1,,5,,1500,9,421,956,1064,,32,,,,,,,,,,326,,,,,,,,,,5,13,,686,
,1,,6,,1489,12,385,883,995,,31,,,,,,,,,,257,,,,,,,,,,2,14,,691,
,1,,7,41,1470,1368,753,1861,2190,,65,,,,,,,,,,1300,,,,,,,,,,8,22,,795,
,1,,8,40,1141,22,695,1586,1792,,77,,,,,,,,,,1012,,,,,,,,,,0,25,,670,
,1,,9,,1394,12,413,840,957,,32,,,,,,,,,,316,,,,,,,,,,0,10,,598,
,1,,10,,1595,6,338,900,1069,,26,,,,,,,,,,320,,,,,,,,,,1,16,,706,
,1,,11,,1623,6,422,947,1072,,16,,,,,,,,,,346,,,,,,,,,,4,9,,696,
,1,,12,,1559,10,376,939,1098,,24,,,,,,,,,,336,,,,,,,,,,8,16,,700,
,1,,13,,1322,9,345,740,829,,21,,,,,,,,,,217,,,,,,,,,,3,8,,580,
,1,,14,,1281,11,335,745,863,,15,,,,,,,,,,286,,,,,,,,,,6,11,,540,
,1,,15,,1313,9,324,794,910,,29,,,,,,,,,,304,,,,,,,,,,4,12,,560,
,1,,16,,1577,8,431,944,1081,,28,,,,,,,,,,369,,,,,,,,,,5,9,,668,
,1,,17,,1122,11,314,625,716,,25,,,,,,,,,,186,,,,,,,,,,2,12,,491,
,1,,18,,1114,10,377,707,770,,24,,,,,,,,,,199,,,,,,,,,,2,4,,541,
,1,,19,,1518,10,290,867,1069,,33,,,,,,,,,,310,,,,,,,,,,5,9,,710,
,1,,20,,1457,6,455,920,1023,,21,,,,,,,,,,350,,,,,,,,,,3,12,,637,
,1,,21,,1455,10,323,867,1030,,41,,,,,,,,,,300,,,,,,,,,,1,13,,675,
,1,,22,,1503,11,418,1004,1116,,24,,,,,,,,,,294,,,,,,,,,,0,12,,786,
,1,,23,,1400,10,412,896,1054,,38,,,,,,,,,,318,,,,,,,,,,5,16,,677,
,1,,24,,1591,8,392,930,1132,,28,,,,,,,,,,384,,,,,,,,,,1,13,,706,
,1,,25,,1134,9,390,751,817,,32,,,,,,,,,,283,,,,,,,,,,2,8,,490,
,1,,26,,1284,11,358,813,924,,30,,,,,,,,,,256,,,,,,,,,,4,7,,618,
,1,,27,,1625,10,399,984,1166,,28,,,,,,,,,,241,,,,,,,,,,4,13,,880,
,1,,28,,1352,11,336,861,1000,,33,,,,,,,,,,217,,,,,,,,,,7,12,,731,
,1,,29,,1511,11,247,721,1098,,26,,,,,,,,,,267,,,,,,,,,,4,10,,789,
,1,,30,,1223,8,226,711,893,,37,,,,,,,,,,197,,,,,,,,,,5,7,,647,
,1,,31,,1409,10,307,795,1020,,25,,,,,,,,,,225,,,,,,,,,,5,10,,755,
,1,,32,,1291,2,432,898,1035,,31,,,,,,,,,,387,,,,,,,,,,1,9,,607,
,1,,33,,1253,13,272,750,869,,25,,,,,,,,,,233,,,,,,,,,,2,8,,601,
,1,,34,,1234,13,121,298,354,,15,,,,,,,,,,73,,,,,,,,,,1,4,,256,
,1,,35,43,1197,1166,746,1768,1921,,37,,,,,,,,,,1334,,,,,,,,,,2,9,,525,
,1,,36,42,297,1160,85,179,1185,,60,,,,,,,,,,823,,,,,,,,,,3,16,,283,
,1,,37,,1577,2,363,943,1122,,25,,,,,,,,,,380,,,,,,,,,,2,8,,703,
,1,,38,,917,1,318,668,759,,25,,,,,,,,,,442,,,,,,,,,,0,4,,287,
,1,,39,,1214,1,395,878,1003,,40,,,,,,,,,,395,,,,,,,,,,1,4,,562,
,2,,1,,1352,4,381,852,974,,19,,,,,,,,8,0,200,,7,,,,33,,,1,0,3,,698,
,2,,2,,1427,11,426,954,1067,,17,,,,,,,,17,3,233,,14,,,,16,,,0,1,2,,761,
,2,,3,,1446,5,396,930,1063,,18,,,,,,,,13,4,196,,4,,,,27,,,2,0,4,,795,
,2,,4,,1496,14,361,964,1122,,20,,,,,,,,9,0,190,,17,,,,37,,,0,0,5,,844,
,2,,5,,1325,4,329,813,1008,,19,,,,,,,,12,1,169,,4,,,,26,,,2,0,7,,762,
,2,,6,,1335,10,300,817,1008,,21,,,,,,,,13,2,220,,6,,,,24,,,0,0,2,,717,
,2,,7,,1114,4,317,761,849,,20,,,,,,,,13,0,174,,6,,,,34,,,0,1,4,,591,
,2,,8,,1259,12,398,807,894,,23,,,,,,,,4,0,201,,5,,,,12,,,1,0,7,,633,
,2,,9,,1241,0,329,728,882,,24,,,,,,,,10,0,145,,11,,,,12,,,0,0,5,,667,
,2,,10,,1396,5,378,893,1052,,21,,,,,,,,28,1,196,,9,,,,16,,,0,2,14,,750,
,2,,11,,1385,11,358,854,1045,,26,,,,,,,,19,2,219,,14,,,,33,,,1,1,7,,718,
,2,,12,,1380,4,353,897,1046,,23,,,,,,,,19,2,155,,12,,,,27,,,1,0,5,,795,
,2,,13,,1409,5,356,918,1089,,20,,,,,,,,19,0,220,,15,,,,29,,,0,0,2,,778,
,2,,14,,1395,7,317,843,1047,,21,,,,,,,,14,0,190,,4,,,,32,,,0,3,8,,770,
,2,,15,,1455,10,355,930,1091,,24,,,,,,,,14,2,216,,10,,,,17,,,0,1,9,,793,
,2,,16,,1369,9,299,716,936,,16,,,,,,,,12,0,214,,9,,,,11,,,0,1,1,,667,
,2,,17,,1462,9,323,830,1069,,22,,,,,,,,13,1,194,,8,,,,17,,,0,1,6,,807,
,2,,18,,1088,6,271,707,833,,21,,,,,,,,15,2,150,,8,,,,17,,,0,0,4,,616,
,2,,19,,1610,3,325,725,885,,30,,,,,,,,5,0,311,,19,,,,6,,,6,0,7,,503,
,2,,20,,350,2,138,236,252,,6,,,,,,,,1,0,87,,9,,,,1,,,0,1,3,,144,
,2,,21,,1256,8,94,310,373,,7,,,,,,,,8,0,75,,4,,,,5,,,0,1,2,,267,
,2,,22,,946,13,79,222,269,,5,,,,,,,,2,0,37,,2,,,,10,,,0,0,0,,210,
,2,,23,,1464,5,348,902,1094,,29,,,,,,,,17,0,245,,12,,,,26,,,1,0,9,,747,
,2,,24,,1499,8,453,927,1076,,19,,,,,,,,27,1,279,,6,,,,17,,,0,1,9,,712,
,2,,25,,1469,5,377,934,1088,,30,,,,,,,,18,1,253,,6,,,,12,,,2,0,10,,753,
,2,,26,,1491,10,368,917,1090,,28,,,,,,,,11,1,229,,7,,,,22,,,1,1,7,,772,
,2,,27,79,1355,8,398,888,2057,,68,,,,,,,,33,1,1004,,18,,,,18,,,1,4,11,,892,
,2,,28,80,1466,1105,803,1593,1874,,45,,,,,,,,17,5,958,,11,,,,11,,,0,1,9,,805,
,2,,29,,1342,3,323,801,951,,83,,,,,,,,15,0,254,,12,,,,11,,,0,3,7,,566,
,2,,30,,1360,11,362,814,974,,25,,,,,,,,11,0,249,,13,,,,22,,,1,1,7,,640,
,2,,31,,1154,11,290,706,790,,14,,,,,,,,17,0,175,,7,,,,11,,,2,0,7,,553,
,2,,32,,912,11,270,573,649,,17,,,,,,,,10,0,162,,7,,,,11,,,0,0,5,,432,
,2,,33,,1156,4,304,704,810,,22,,,,,,,,16,3,174,,9,,,,12,,,0,0,3,,568,
,2,,34,,1374,10,421,890,1028,,27,,,,,,,,6,2,184,,16,,,,15,,,0,0,3,,773,
,2,,35,,1230,11,289,764,863,,25,,,,,,,,14,1,201,,10,,,,11,,,0,2,4,,589,
,2,,36,,1414,7,373,858,978,,18,,,,,,,,11,2,200,,14,,,,13,,,0,0,12,,703,
,2,,37,,1262,15,346,795,929,,25,,,,,,,,9,1,247,,9,,,,9,,,0,2,10,,616,
,2,,38,,1357,9,371,834,948,,21,,,,,,,,15,0,218,,13,,,,12,,,2,0,11,,652,
,2,,39,,1508,8,384,892,1040,,20,,,,,,,,15,0,233,,11,,,,16,,,0,1,4,,736,
,2,,40,,1048,11,313,678,757,,19,,,,,,,,13,1,177,,3,,,,7,,,1,0,3,,528,
,2,,41,,887,11,295,560,634,,10,,,,,,,,3,3,162,,6,,,,9,,,1,2,1,,434,
