District,Party Numer
1,5
1,36
1,38
1,41
2,1
2,4
2,5
2,10
2,24
2,35
2,36
2,38
2,41
3,1
3,4
3,5
3,10
3,23
3,24
3,30
3,36
3,38
3,41
4,5
4,9
4,10
4,24
4,38
4,41
5,1
5,5
5,9
5,10
5,24
5,38
5,41
6,1
6,5
6,10
6,38
6,41
7,1
7,4
7,5
7,9
7,10
7,24
7,38
7,41
8,5
8,10
8,24
8,35
8,36
8,38
8,41
9,5
9,9
9,10
9,24
9,38
9,41
10,1
10,4
10,5
10,9
10,10
10,24
10,38
10,41
11,1
11,5
11,10
11,24
11,38
11,41
12,1
12,5
12,10
12,24
12,38
12,41
13,1
13,5
13,10
13,24
13,38
13,41
14,1
14,5
14,10
14,38
14,40
14,41
15,1
15,5
15,10
15,24
15,38
15,41
16,5
16,10
16,24
16,41
17,1
17,5
17,10
17,24
17,38
17,41
17,99
18,5
18,10
18,24
18,38
18,41
19,5
19,38
19,40
19,41
20,1
20,4
20,5
20,9
20,10
20,24
20,38
20,41
21,5
21,10
21,24
21,35
21,38
21,41
22,1
22,5
22,10
22,24
22,35
22,38
22,41
23,4
23,5
23,9
23,10
23,24
23,38
23,41
24,1
24,5
24,24
24,36
24,38
24,41
25,1
25,5
25,9
25,10
25,38
25,41
26,1
26,5
26,10
26,24
26,35
26,41
27,5
27,9
27,10
27,24
27,38
27,41
28,1
28,5
28,9
28,24
28,38
28,41
29,1
29,5
29,10
29,35
29,38
29,41
30,1
30,5
30,9
30,10
30,24
30,38
30,41
32,1
32,5
32,9
32,10
32,19
32,24
32,38
32,41
33,1
33,5
33,9
33,10
33,19
33,24
33,36
33,38
33,41
35,1
35,5
35,9
35,10
35,24
35,41
36,1
36,5
36,10
36,24
36,38
36,41
37,1
37,5
37,24
37,41
38,5
38,41
39,5
39,24
39,41
40,1
40,5
40,10
40,24
40,36
40,41
41,1
41,5
41,24
41,41
43,5
43,10
43,24
43,38
43,40
43,41
44,1
44,5
44,10
44,24
44,38
44,40
44,41
45,1
45,5
45,10
45,36
45,41
46,1
46,5
46,10
46,24
46,41
47,5
47,10
47,35
47,38
47,41
48,1
48,5
48,10
48,38
48,41
49,1
49,5
49,9
49,10
49,24
49,38
49,41
50,5
50,9
50,38
50,41
51,5
51,9
51,10
51,24
51,38
51,41
52,5
52,24
52,38
52,41
53,1
53,5
53,9
53,24
53,38
53,41
54,1
54,5
54,10
54,24
54,41
55,1
55,5
55,9
55,10
55,24
55,38
55,41
56,5
56,10
56,38
56,41
57,5
57,9
57,10
57,41
58,1
58,4
58,5
58,9
58,10
58,24
58,38
58,41
59,4
59,5
59,10
59,24
59,38
59,41
60,1
60,5
60,10
60,24
60,30
60,38
60,41
61,1
61,5
61,24
61,41
62,1
62,5
62,24
62,41
63,1
63,5
63,9
63,10
63,24
63,35
63,38
63,41
64,1
64,4
64,5
64,10
64,38
64,41
65,5
65,9
65,10
65,24
65,38
65,41
66,1
66,5
66,9
66,10
66,24
66,38
66,41
67,1
67,5
67,9
67,10
67,24
67,35
67,38
67,41
67,99
68,5
68,9
68,10
68,24
68,35
68,38
68,41
69,5
69,9
69,10
69,38
69,41
70,1
70,5
70,9
70,10
70,24
70,38
70,41
79,1
79,5
79,9
79,10
79,30
79,35
79,41
80,1
80,5
80,9
80,10
80,38
80,41
81,1
81,5
81,9
81,10
81,38
81,41
82,1
82,5
82,9
82,10
82,38
82,41
83,1
83,5
83,9
83,10
83,35
83,38
83,41
84,1
84,5
84,9
84,10
84,24
84,38
84,41
