region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1  “კახა კუკავა – თავისუფალი საქართველო”,4 “ეროვნულ-დემოკრატიული პარტია”,5 “ერთიანი ნაციონალური მოძრაობა-მეტი სარგებელი ხალხს”,9 “სამართლიანი საქართველოსთვის”,10 “გიორგი თარგამაძე–ქრისტიან-დემოკრატიული გაერთიანება”,17 “სახალხო მოძრაობა”,19 “თავისუფლება – ზვიად გამსახურდიას გზა”,23 “ჯონდი ბაღათურია – ქართული დასი”,24 “ახალი მემარჯვენეები”,26 “სახალხო პარტია”,30  “მერაბ კოსტავას საზოგადოება”,35 “მომავალი საქართველო”,36 “საქართველოს მშრომელთა საბჭო”,38 “შალვა ნათელაშვილი – საქართველოს ლეიბორისტული პარტია”,40 “საქართველოს სპორტსმენთა კავშირი”,41 “ბიძინა ივანიშვილი – ქართული ოცნება”
,1,,1,,1481,8,444,829,948,,10,,,,,,,,8,2,262,0,20,0,2,1,9,0,1,1,0,10,0,620
,1,,2,,1299,12,296,731,855,,27,,,,,,,,0,0,239,1,12,0,0,2,4,0,0,0,0,7,1,562
,1,,3,,1470,10,375,895,1006,,29,,,,,,,,4,0,287,2,17,0,0,5,5,0,2,0,1,10,3,640
,1,,4,,1178,12,369,744,804,,19,,,,,,,,5,4,197,0,11,0,0,2,6,0,1,0,0,11,0,548
,1,,5,,1500,9,421,956,1064,,26,,,,,,,,6,1,284,0,13,0,2,2,5,0,1,0,1,13,1,709
,1,,6,,1489,12,385,883,998,,33,,,,,,,,10,1,213,0,20,0,0,1,8,0,0,0,1,11,2,698
,1,,7,41,1470,1368,753,1861,2204,,49,,,,,,,,13,3,1259,1,21,0,1,3,4,1,2,0,0,17,0,828
,1,,8,40,1141,22,695,1586,1792,,66,,,,,,,,4,0,1006,0,21,0,0,6,7,0,1,0,0,17,0,664
,1,,9,,1394,12,413,840,962,,23,,,,,,,,12,1,286,0,12,0,1,5,4,0,1,0,0,8,0,609
,1,,10,,1595,6,338,900,1072,,26,,,,,,,,13,4,249,0,14,0,0,4,10,1,0,0,0,10,1,740
,1,,11,,1623,6,422,947,1072,,21,,,,,,,,5,2,286,0,12,0,1,2,4,0,3,0,3,13,0,719
,1,,12,,1559,10,376,939,1098,,28,,,,,,,,6,0,275,1,8,0,0,1,12,1,0,0,3,15,3,745
,1,,13,,1322,9,345,740,833,,30,,,,,,,,4,0,175,2,6,0,0,3,2,0,1,0,0,6,1,602
,1,,14,,1281,11,335,746,863,,19,,,,,,,,12,2,225,1,15,0,1,2,7,0,0,0,3,10,0,566
,1,,15,,1313,9,324,794,915,,33,,,,,,,,5,1,256,0,12,0,1,2,1,0,1,0,1,14,0,587
,1,,16,,1577,8,431,944,1081,,39,,,,,,,,6,2,314,0,12,0,1,4,4,0,2,0,2,13,1,681
,1,,17,,1122,11,314,625,724,,26,,,,,,,,1,1,166,0,8,0,3,3,8,2,0,0,0,7,4,495
,1,,18,,1114,10,377,707,777,,18,,,,,,,,6,1,156,0,8,0,0,2,2,0,0,2,0,7,2,563
,1,,19,,1518,10,290,867,1073,,20,,,,,,,,8,2,272,0,9,0,0,3,9,0,7,0,0,6,1,735
,1,,20,,1457,6,455,920,1025,,40,,,,,,,,5,0,280,1,7,0,1,5,8,0,1,0,1,12,0,664
,1,,21,,1455,10,323,867,1038,,49,,,,,,,,4,0,256,0,7,0,0,4,20,2,3,0,1,10,1,681
,1,,22,,1503,11,418,1004,1122,,21,,,,,,,,8,3,264,0,12,1,1,2,7,1,0,0,1,9,1,791
,1,,23,,1400,10,412,896,1058,,30,,,,,,,,7,3,273,0,8,0,2,3,10,0,2,0,1,18,2,699
,1,,24,,1591,8,392,930,1137,,27,,,,,,,,2,1,341,1,8,0,1,3,2,0,3,2,0,18,1,726
,1,,25,,1134,9,390,751,817,,32,,,,,,,,7,1,256,0,3,0,0,0,3,0,0,0,0,8,1,506
,1,,26,,1284,11,358,813,929,,35,,,,,,,,5,0,228,1,7,0,0,3,6,3,0,1,1,3,1,635
,1,,27,,1625,10,399,984,1170,,24,,,,,,,,11,1,210,0,7,0,0,1,14,1,1,0,2,5,2,891
,1,,28,,1352,11,336,861,1005,,24,,,,,,,,13,0,210,0,7,0,0,1,18,1,2,0,1,9,1,718
,1,,29,,1511,11,247,721,1098,,18,,,,,,,,6,2,227,2,15,1,1,0,20,0,2,1,1,15,1,786
,1,,30,,1223,8,226,711,896,,31,,,,,,,,2,0,179,0,1,1,0,0,8,0,0,1,0,6,2,665
,1,,31,,1409,10,307,795,1022,,29,,,,,,,,7,3,201,0,7,0,1,2,9,1,1,1,0,12,3,745
,1,,32,,1291,2,432,898,1035,,34,,,,,,,,6,1,333,1,7,0,0,3,1,0,0,0,1,7,0,641
,1,,33,,1253,13,272,750,874,,28,,,,,,,,4,1,181,0,11,0,1,3,9,0,1,0,1,9,0,625
,1,,34,,1234,13,121,298,354,,10,,,,,,,,3,1,71,0,9,0,1,0,0,0,1,0,1,1,0,256
,1,,35,43,1197,1166,746,1768,1921,,48,,,,,,,,1,2,1315,1,13,0,0,0,1,0,0,5,0,6,1,528
,1,,36,42,297,1160,87,184,1201,,47,,,,,,,,1,2,824,1,9,0,0,2,2,0,0,0,1,8,0,304
,1,,37,,1577,2,363,943,1122,,23,,,,,,,,0,1,370,0,11,0,0,0,1,0,0,0,1,11,0,701
,1,,38,,917,1,318,668,759,,21,,,,,,,,2,1,424,0,5,0,0,0,2,0,0,0,0,3,1,300
,1,,39,,1214,1,395,878,1003,,28,,,,,,,,0,1,379,0,8,0,0,2,1,0,0,0,0,6,2,576
,2,,1,,1352,8,381,852,974,,18,,,,,,,,6,2,185,1,10,0,0,0,16,5,0,1,0,8,1,721
,2,,2,,1427,11,426,954,1067,,25,,,,,,,,5,3,200,1,23,0,2,4,13,2,1,0,0,4,1,783
,2,,3,,1446,10,396,930,1068,,25,,,,,,,,1,2,193,0,5,0,0,4,9,1,1,1,1,7,2,816
,2,,4,,1496,14,361,964,1127,,29,,,,,,,,8,0,177,0,25,0,0,3,19,0,0,0,0,5,2,859
,2,,5,,1325,10,329,813,1008,,22,,,,,,,,7,2,169,2,3,0,0,2,15,1,0,0,1,12,2,770
,2,,6,,1335,13,300,817,1008,,24,,,,,,,,2,1,200,1,8,0,1,0,19,0,1,0,1,4,0,746
,2,,7,,1114,8,317,761,849,,28,,,,,,,,11,1,162,0,8,0,0,1,19,0,1,1,0,8,3,604
,2,,8,,1259,12,398,807,894,,22,,,,,,,,2,2,179,0,8,0,0,1,13,0,1,1,0,8,1,656
,2,,9,,1241,12,329,728,882,,36,,,,,,,,3,0,136,1,7,1,0,2,6,0,2,1,0,12,1,673
,2,,10,,1396,10,378,893,1052,,30,,,,,,,,16,4,183,1,9,0,1,3,9,0,1,0,1,11,0,774
,2,,11,,1385,11,358,854,1045,,32,,,,,,,,13,2,217,0,15,0,1,4,16,0,4,1,0,10,0,730
