District,Party Numer
01,1
01,3
01,5
01,6
01,7
01,8
01,14
01,17
01,18
01,23
01,26
01,27
01,42
01,43
02,3
02,5
02,8
02,12
02,19
02,23
02,26
02,27
02,41
02,42
02,44
03,1
03,2
03,3
03,5
03,6
03,7
03,8
03,10
03,26
03,27
03,28
03,41
04,4
04,5
04,6
04,7
04,8
04,10
04,17
04,19
04,23
04,26
04,27
04,41
04,42
04,43
05,3
05,5
05,6
05,7
05,8
05,14
05,18
05,23
05,25
05,26
05,27
05,28
05,41
06,1
06,3
06,5
06,6
06,7
06,8
06,10
06,17
06,18
06,23
06,26
06,27
06,41
06,42
07,1
07,3
07,5
07,7
07,8
07,10
07,12
07,14
07,17
07,18
07,23
07,25
07,27
07,41
07,42
08,1
08,5
08,7
08,8
08,10
08,17
08,23
08,25
08,26
08,27
08,41
08,42
09,2
09,3
09,5
09,7
09,8
09,10
09,19
09,23
09,26
09,27
09,41
10,1
10,2
10,3
10,5
10,6
10,7
10,8
10,12
10,15
10,19
10,23
10,27
10,41
10,42
11,1
11,3
11,5
11,7
11,8
11,10
11,12
11,14
11,18
11,23
11,26
11,27
11,41
12,1
12,5
12,6
12,7
12,8
12,10
12,19
12,23
12,26
12,27
12,41
12,42
13,1
13,2
13,3
13,5
13,7
13,8
13,10
13,14
13,17
13,18
13,23
13,26
13,27
13,41
14,2
14,3
14,5
14,7
14,8
14,12
14,17
14,18
14,19
14,27
14,28
14,41
15,1
15,3
15,5
15,6
15,7
15,8
15,10
15,17
15,23
15,25
15,26
15,27
15,41
15,42
15,44
16,1
16,3
16,5
16,8
16,10
16,17
16,25
16,26
16,27
16,41
16,43
17,1
17,2
17,3
17,5
17,7
17,8
17,10
17,12
17,15
17,19
17,23
17,26
17,27
17,28
17,41
17,42
18,1
18,3
18,5
18,7
18,8
18,10
18,14
18,17
18,19
18,23
18,27
18,41
18,42
19,1
19,5
19,7
19,10
19,17
19,19
19,23
19,26
19,27
19,28
19,41
20,1
20,2
20,3
20,5
20,7
20,8
20,10
20,12
20,17
20,19
20,23
20,25
20,26
20,27
20,41
21,5
21,7
21,8
21,10
21,12
21,15
21,17
21,26
21,27
21,41
22,2
22,3
22,4
22,5
22,7
22,8
22,10
22,12
22,14
22,17
22,23
22,26
22,27
22,41
23,1
23,3
23,5
23,8
23,12
23,41
23,42
24,1
24,3
24,5
24,6
24,7
24,8
24,10
24,12
24,14
24,19
24,26
24,41
24,42
25,1
25,3
25,5
25,6
25,8
25,10
25,19
25,26
25,27
25,28
25,41
26,1
26,3
26,5
26,7
26,8
26,25
26,26
26,27
26,41
26,42
26,43
26,44
27,1
27,3
27,5
27,8
27,10
27,12
27,14
27,19
27,26
27,27
27,41
28,1
28,3
28,5
28,6
28,7
