District,Party Numer
01,5
01,42
02,5
02,41
06,5
06,41
07,5
07,41
08,5
08,41
09,5
09,41
10,5
10,41
11,5
11,41
12,5
12,41
13,5
13,41
15,5
15,41
16,5
16,41
17,5
17,41
18,5
18,41
19,5
19,41
20,5
20,41
21,5
21,41
22,5
22,41
23,5
23,41
24,5
24,41
26,5
26,41
27,5
27,41
28,5
28,41
29,5
29,41
30,5
30,41
36,5
36,41
37,41
37,42
39,5
39,41
41,27
41,41
42,5
42,41
43,19
43,41
44,5
44,41
47,5
47,41
48,5
48,41
49,5
49,41
51,5
51,41
52,5
52,41
56,27
56,41
60,41
60,42
61,5
61,41
63,5
63,41
64,5
64,41
65,5
65,41
66,5
66,41
67,5
67,41
68,5
68,41
69,5
69,41
70,5
70,41
71,5
71,41
72,5
72,41
