Number,Party,is ind
1,State for the People,
2,Progressive Democratic Movement,
3,Democratic Movement,
4,Georgian Group,
5,United National Movement,
6,Republican Party,
7,For United Georgia,
8,Alliance of Patriots,
10,Labour,
12,Communist Party - Stalin,
14,Georgia for Peace,
15,Socialist Workers Party,
16,United Communist Party,
17,Georgia,
18,Georgian Idea,
19,Industrialists - Our Homeland,
22,Merab Kostava Society,
23,Ours - People's Party,
25,Leftist Alliance,
26,National Forum,
27,Free Democrats,
28,In the Name of the Lord,
41,Georgian Dream,
42,Initiative Group,TRUE
43,Initiative Group,TRUE
44,Initiative Group,TRUE
