district,major,precinct
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
2,2,1
2,2,2
2,2,3
2,2,4
2,2,5
2,2,6
2,2,7
2,2,8
2,2,9
2,2,10
2,2,11
2,2,12
2,2,13
2,2,14
2,2,15
2,2,16
2,2,17
2,2,18
2,2,19
2,2,22
2,2,27
2,2,32
2,2,48
2,2,49
2,2,50
2,2,51
2,2,52
2,2,53
2,2,65
2,2,66
2,2,67
2,2,68
2,2,69
2,2,70
2,2,71
2,2,75
2,2,76
2,2,78
2,2,79
2,3,20
2,3,23
2,3,24
2,3,25
2,3,26
2,3,28
2,3,29
2,3,30
2,3,31
2,3,33
2,3,34
2,3,35
2,3,36
2,3,37
2,3,38
2,3,39
2,3,40
2,3,41
2,3,42
2,3,43
2,3,44
2,3,45
2,3,46
2,3,47
2,3,54
2,3,55
2,3,56
2,3,57
2,3,58
2,3,59
2,3,60
2,3,61
2,3,62
2,3,63
2,3,64
2,3,72
2,3,73
2,3,74
2,3,80
3,4,33
3,4,34
3,4,35
3,4,36
3,4,37
3,4,38
3,4,39
3,4,40
3,4,41
3,4,42
3,4,49
3,4,50
3,4,51
3,4,52
3,4,53
3,4,55
3,4,56
3,4,57
3,4,58
3,4,59
3,4,73
3,4,74
3,4,75
3,4,76
3,4,80
3,4,86
3,4,87
3,4,89
3,4,90
3,5,6
3,5,7
3,5,12
3,5,13
3,5,14
3,5,15
3,5,16
3,5,17
3,5,18
3,5,19
3,5,20
3,5,21
3,5,22
3,5,23
3,5,24
3,5,25
3,5,32
3,5,45
3,5,46
3,5,47
3,5,60
3,5,64
3,5,65
3,5,66
3,5,67
3,5,68
3,5,70
3,5,79
3,5,84
3,5,85
3,5,88
3,6,1
3,6,2
3,6,3
3,6,4
3,6,5
3,6,8
3,6,9
3,6,10
3,6,11
3,6,26
3,6,27
3,6,28
3,6,29
3,6,30
3,6,31
3,6,43
3,6,44
3,6,48
3,6,54
3,6,61
3,6,62
3,6,63
3,6,69
3,6,71
3,6,72
3,6,77
3,6,78
3,6,81
3,6,82
3,6,83
4,7,1
4,7,2
4,7,3
4,7,4
4,7,5
4,7,6
4,7,7
4,7,8
4,7,9
4,7,10
4,7,11
4,7,12
4,7,13
4,7,14
4,7,15
4,7,16
4,7,17
4,7,18
4,7,19
4,7,20
4,7,21
4,7,22
4,7,23
4,7,24
4,7,25
4,7,26
4,7,27
4,7,28
4,7,29
4,7,30
4,7,31
4,7,32
5,8,1
5,8,2
5,8,3
5,8,4
5,8,5
5,8,6
5,8,7
5,8,8
5,8,9
5,8,10
5,8,11
5,8,12
5,8,13
5,8,14
5,8,16
5,8,17
5,8,18
5,8,19
5,8,38
5,8,39
5,8,40
5,8,41
5,8,42
5,8,43
5,8,44
5,8,45
5,8,46
5,8,78
5,9,15
5,9,20
5,9,21
5,9,22
5,9,23
5,9,24
5,9,25
5,9,26
5,9,27
5,9,28
5,9,29
5,9,30
5,9,31
5,9,32
5,9,33
5,9,34
5,9,35
5,9,36
5,9,37
5,9,76
5,10,47
5,10,48
5,10,49
5,10,50
5,10,51
5,10,52
5,10,53
5,10,54
5,10,55
5,10,56
5,10,57
5,10,58
5,10,59
5,10,60
5,10,61
5,10,62
5,10,63
5,10,64
5,10,65
5,10,66
5,10,67
5,10,68
5,10,69
5,10,70
5,10,71
5,10,72
5,10,73
5,10,74
5,10,75
6,11,1
6,11,2
6,11,3
6,11,4
6,11,5
6,11,6
6,11,7
6,11,8
6,11,9
6,11,10
6,11,11
6,11,12
6,11,13
6,11,14
6,11,15
6,11,16
6,11,17
6,11,18
6,11,19
6,11,20
6,11,21
6,11,22
6,11,23
6,11,24
6,11,25
6,11,26
6,11,27
6,11,118
6,12,28
6,12,29
6,12,30
6,12,31
6,12,32
6,12,33
6,12,34
6,12,35
6,12,36
6,12,37
6,12,38
6,12,39
6,12,40
6,12,41
6,12,42
6,12,43
6,12,44
6,12,45
6,12,46
6,12,47
6,12,49
6,12,50
6,12,51
6,12,52
6,12,53
6,12,54
6,12,55
6,12,56
6,12,57
6,12,58
6,12,59
6,13,48
6,13,60
6,13,61
6,13,62
6,13,63
6,13,64
6,13,65
6,13,66
6,13,67
6,13,68
6,13,69
6,13,70
6,13,71
6,13,72
6,13,73
6,13,74
6,13,75
6,13,76
6,13,77
6,13,78
6,13,79
6,13,80
6,13,81
6,13,117
6,14,82
6,14,83
6,14,84
6,14,85
6,14,86
6,14,87
6,14,88
6,14,89
6,14,90
6,14,91
6,14,92
6,14,93
6,14,94
6,14,95
6,14,96
6,14,97
6,14,98
6,14,99
6,14,100
6,14,101
6,14,102
6,14,103
6,14,104
6,14,105
6,14,106
6,14,107
6,14,108
6,14,109
6,14,110
6,14,111
6,14,112
6,14,113
7,15,1
7,15,2
7,15,3
7,15,4
7,15,5
7,15,6
7,15,7
7,15,8
7,15,9
7,15,10
7,15,11
7,15,12
7,15,13
7,15,14
7,15,15
7,15,16
7,15,17
7,15,18
7,15,19
7,15,20
7,15,21
7,15,22
7,15,23
7,15,24
7,15,25
7,15,26
7,15,27
7,15,28
7,15,29
7,15,30
7,15,31
7,15,32
7,15,33
7,15,34
7,15,35
7,15,36
7,15,37
7,15,38
7,15,39
7,15,40
7,15,41
7,15,42
7,15,43
8,16,1
8,16,2
8,16,3
8,16,4
8,16,5
8,16,6
8,16,7
8,16,8
8,16,9
8,16,10
8,16,11
8,16,12
8,16,13
8,16,14
8,16,15
8,16,16
8,16,17
8,16,18
8,16,19
8,16,20
8,16,21
8,16,22
8,16,23
8,16,24
8,16,25
8,16,26
8,16,27
8,16,28
8,16,29
8,16,30
8,16,31
8,16,32
8,16,33
8,17,34
8,17,35
8,17,36
8,17,37
8,17,38
8,17,39
8,17,40
8,17,41
8,17,42
8,17,43
8,17,44
8,17,45
8,17,46
8,17,47
8,17,48
8,17,49
8,17,50
8,17,51
8,17,52
8,17,53
8,17,54
9,18,1
9,18,2
9,18,3
9,18,4
9,18,5
9,18,6
9,18,7
9,18,8
9,18,9
9,18,10
9,18,11
9,18,12
9,18,13
9,18,14
9,18,15
9,18,16
9,18,17
9,18,18
9,18,19
9,18,20
9,18,21
9,18,22
9,18,96
9,19,23
9,19,24
9,19,25
9,19,26
9,19,27
9,19,28
9,19,29
9,19,30
9,19,31
9,19,32
9,19,33
9,19,34
9,19,35
9,19,36
9,19,37
9,19,38
9,19,39
9,19,40
9,19,41
9,19,93
9,19,97
9,20,42
9,20,43
9,20,44
9,20,45
9,20,46
9,20,47
9,20,48
9,20,49
9,20,50
9,20,51
9,20,52
9,20,53
9,20,54
9,20,55
9,20,56
9,20,57
9,20,58
9,20,59
9,20,60
9,20,61
9,20,62
9,20,63
9,20,64
9,20,94
9,20,95
9,21,65
9,21,66
9,21,67
9,21,68
9,21,69
9,21,70
9,21,71
9,21,72
9,21,73
9,21,74
9,21,75
9,21,76
9,21,77
9,21,78
9,21,79
9,21,80
9,21,81
9,21,82
9,21,83
9,21,84
9,21,85
9,21,86
9,21,87
9,21,88
9,21,89
9,21,90
9,21,91
9,21,92
10,22,1
10,22,2
10,22,3
10,22,4
10,22,5
10,22,6
10,22,7
10,22,8
10,22,9
10,22,10
10,22,11
10,22,12
10,22,13
10,22,14
10,22,15
10,22,16
10,22,17
10,22,18
10,22,19
10,22,20
10,22,21
10,22,22
10,22,23
10,22,107
10,22,108
10,22,109
10,22,110
10,23,24
10,23,25
10,23,26
10,23,27
10,23,28
10,23,29
10,23,30
10,23,31
10,23,32
10,23,33
10,23,34
10,23,35
10,23,36
10,23,37
10,23,38
10,23,39
10,23,40
10,23,41
10,23,42
10,23,43
10,23,44
10,23,45
10,23,46
10,23,47
10,23,48
10,23,49
10,23,50
10,23,51
10,23,52
10,23,53
10,24,54
10,24,55
10,24,56
10,24,57
10,24,58
10,24,59
10,24,60
10,24,61
10,24,62
10,24,63
10,24,64
10,24,65
10,24,66
10,24,67
10,24,68
10,24,69
10,24,70
10,24,72
10,24,73
10,24,74
10,24,75
10,24,76
10,24,77
10,24,78
10,24,79
10,24,80
10,24,81
10,24,82
10,24,83
10,24,84
10,24,85
10,25,86
10,25,87
10,25,88
10,25,89
10,25,90
10,25,91
10,25,92
10,25,93
10,25,94
10,25,95
10,25,96
10,25,97
10,25,98
10,25,99
10,25,100
10,25,101
10,25,102
10,25,103
10,25,104
10,25,105
10,25,106
10,25,111
11,1,11
11,2,12
11,3,13
11,4,14
11,5,15
11,5,16
11,6,17
11,6,18
11,6,19
11,8,20
11,8,21
11,8,22
11,9,23
11,10,24
11,11,25
11,11,26
11,11,27
11,12,28
11,12,29
11,13,30
11,13,31
11,13,32
11,14,33
11,14,34
11,15,35
11,16,36
11,17,40
11,17,41
11,17,42
11,17,43
11,18,44
11,18,45
11,18,46
11,18,50
11,19,47
11,19,48
11,19,49
11,20,38
11,20,39
11,21,37
11,101,1
11,101,2
11,101,3
11,101,5
11,101,8
11,102,4
11,102,6
11,102,7
11,102,9
11,102,10
12,1,6
12,1,50
12,2,7
12,2,48
12,3,8
12,3,9
12,4,10
12,4,11
12,5,12
12,5,13
12,6,14
12,6,15
12,6,16
12,7,17
12,7,18
12,8,19
12,8,20
12,8,21
12,8,43
12,10,22
12,10,23
12,10,49
12,11,25
12,12,26
12,12,27
12,13,28
12,14,29
12,14,30
12,15,31
12,15,32
12,15,33
12,16,34
12,17,35
12,18,36
12,18,37
12,18,38
12,19,39
12,20,40
12,21,41
12,21,42
12,21,44
12,22,24
12,22,45
12,23,51
12,101,1
12,101,2
12,101,47
12,102,3
12,102,4
12,102,5
12,102,46
13,1,1
13,1,2
13,1,30
13,2,9
13,2,10
13,2,11
13,2,35
13,3,3
13,3,4
13,4,27
13,4,28
13,4,29
13,5,12
13,5,13
13,6,5
13,6,31
13,7,25
13,7,26
13,7,34
13,8,22
13,8,23
13,9,6
13,9,7
13,9,8
13,10,17
13,10,32
13,11,24
13,12,18
13,12,19
13,12,20
13,13,21
13,13,33
13,14,14
13,14,15
13,14,16
14,2,4
14,3,14
14,4,6
14,5,8
14,5,9
14,5,10
14,6,12
14,6,13
14,7,5
14,8,16
14,8,17
14,9,15
14,9,23
14,10,18
14,11,7
14,11,22
14,12,11
14,12,21
14,101,1
14,101,2
14,101,20
14,102,3
14,102,19
15,2,28
15,3,25
15,3,26
15,3,27
15,3,33
15,4,16
15,4,17
15,5,24
15,6,10
15,6,11
15,7,18
15,7,19
15,7,20
15,7,21
15,7,22
15,7,35
15,7,36
15,8,14
15,8,15
15,9,29
15,9,34
15,10,4
15,11,6
15,11,7
15,12,12
15,12,13
15,12,37
15,13,23
15,14,5
15,14,31
15,15,8
15,15,9
15,15,32
15,101,1
15,101,3
15,102,2
15,102,30
16,2,6
16,3,7
16,4,8
16,4,9
16,4,10
16,4,11
16,4,12
16,5,13
16,5,14
16,5,15
16,5,30
16,6,16
16,6,17
16,6,18
16,7,19
16,7,20
16,8,21
16,8,22
16,8,23
16,9,24
16,10,25
16,10,26
16,11,27
16,11,28
16,101,1
16,101,2
16,101,3
16,102,4
16,102,5
16,102,29
17,2,14
17,2,15
17,2,52
17,3,16
17,4,17
17,4,18
17,5,19
17,6,20
17,6,51
17,7,21
17,7,22
17,7,53
17,8,23
17,8,48
17,9,24
17,9,25
17,9,49
17,10,26
17,10,27
17,10,50
17,11,28
17,11,43
17,12,29
17,12,31
17,13,32
17,13,33
17,13,34
17,14,35
17,14,36
17,15,37
17,15,38
17,15,39
17,15,54
17,16,40
17,16,47
17,17,41
17,17,42
17,18,30
17,101,1
17,101,2
17,101,3
17,101,4
17,101,5
17,101,44
17,102,6
17,102,7
17,102,8
17,102,9
17,102,45
17,104,10
17,104,11
17,104,12
17,104,13
17,104,46
18,2,5
18,2,26
18,3,6
18,3,7
18,3,27
18,4,8
18,4,24
18,5,9
18,5,16
18,6,10
18,7,11
18,7,12
18,7,28
18,8,13
18,9,14
18,10,15
18,11,17
18,12,18
18,12,19
18,13,20
18,13,21
18,13,29
18,14,22
18,15,23
18,101,1
18,101,3
18,101,4
18,102,2
18,102,25
19,1,1
19,1,2
19,1,20
19,2,3
19,2,4
19,2,5
19,3,6
19,3,7
19,4,8
19,5,9
19,5,10
19,6,11
19,7,12
19,8,13
19,8,14
19,8,15
19,9,16
19,10,17
19,11,18
19,12,19
20,1,16
20,1,17
20,1,18
20,2,9
20,2,10
20,2,11
20,2,12
20,2,13
20,2,14
20,2,15
20,3,1
20,3,2
20,3,3
20,3,4
20,3,5
20,3,6
20,3,7
20,3,8
20,4,75
20,4,76
20,4,77
20,4,78
20,4,79
20,4,80
20,4,81
20,4,82
20,4,83
20,4,84
20,5,19
20,5,20
20,5,21
20,5,22
20,5,23
20,5,24
20,5,25
20,5,26
20,5,27
20,5,28
20,6,65
20,6,66
20,6,67
20,6,68
20,6,69
20,6,70
20,6,71
20,6,72
20,6,73
20,6,74
20,7,29
20,7,30
20,7,31
20,7,32
20,7,33
20,7,34
20,7,35
20,7,36
20,7,37
20,7,38
20,7,39
20,7,40
20,8,48
20,8,49
20,8,50
20,8,51
20,8,52
20,8,53
20,8,54
20,8,55
20,8,56
20,9,41
20,9,42
20,9,43
20,9,44
20,9,45
20,9,46
20,9,47
20,10,57
20,10,58
20,10,59
20,10,60
20,10,61
20,10,62
20,10,63
20,10,64
21,2,10
21,2,11
21,2,12
21,3,13
21,4,14
21,4,15
21,4,16
21,5,17
21,5,18
21,5,19
21,5,20
21,6,21
21,6,22
21,7,23
21,7,24
21,8,25
21,8,26
21,8,27
21,9,28
21,9,29
21,10,30
21,10,31
21,10,32
21,11,33
21,11,34
21,11,35
21,11,36
21,11,37
21,11,38
21,11,39
21,11,63
21,12,40
21,12,41
21,12,42
21,13,43
21,13,44
21,13,45
21,14,46
21,14,47
21,14,48
21,14,49
21,14,50
21,14,51
21,15,52
21,15,53
21,15,54
21,16,55
21,16,56
21,17,57
21,18,58
21,18,59
21,19,60
21,19,61
21,101,1
21,101,2
21,101,3
21,102,5
21,102,7
21,102,8
21,103,4
21,103,6
21,103,9
21,103,62
22,2,8
22,2,9
22,2,71
22,2,87
22,3,10
22,3,11
22,3,12
22,3,13
22,3,14
22,3,15
22,3,72
22,3,73
22,4,16
22,4,17
22,5,18
22,5,19
22,5,20
22,5,74
22,6,21
22,6,75
22,7,22
22,7,23
22,7,24
22,7,25
22,7,76
22,7,77
22,8,26
22,8,27
22,8,78
22,9,28
22,10,29
22,10,30
22,10,31
22,10,32
22,10,33
22,10,79
22,10,88
22,11,34
22,11,35
22,11,36
22,11,37
22,11,38
22,11,39
22,11,80
22,12,40
22,12,41
22,12,42
22,12,81
22,13,43
22,13,44
22,13,45
22,13,46
22,13,47
22,13,82
22,14,48
22,14,49
22,14,50
22,14,83
22,14,89
22,15,51
22,15,52
22,15,53
22,15,54
22,15,90
22,16,55
22,16,56
22,16,57
22,16,58
22,16,59
22,16,84
22,17,60
22,18,61
22,18,62
22,18,63
22,101,1
22,101,6
22,101,64
22,101,66
22,101,86
22,102,2
22,102,3
22,102,4
22,102,5
22,102,85
22,103,7
22,103,65
22,103,67
22,103,68
22,103,69
23,2,8
23,2,9
23,2,10
23,2,62
23,3,11
23,3,12
23,3,13
23,3,14
23,4,15
23,4,16
23,4,17
23,4,18
23,4,19
23,4,20
23,4,21
23,5,22
23,5,23
23,5,24
23,5,25
23,6,26
23,6,27
23,6,28
23,6,29
23,7,30
23,7,31
23,7,32
23,7,33
23,8,34
23,8,35
23,8,36
23,8,37
23,8,38
23,8,39
23,8,40
23,9,41
23,9,42
23,10,43
23,10,44
23,10,45
23,10,46
23,11,47
23,11,48
23,11,49
23,11,50
23,11,51
23,12,52
23,13,53
