District,Party Numer
1,2
1,3
1,5
1,6
1,8
1,9
1,10
1,14
1,15
1,17
1,27
1,28
1,31
1,38
1,39
1,41
2,2
2,3
2,5
2,6
2,8
2,9
2,10
2,14
2,15
2,17
2,27
2,28
2,31
2,38
2,39
2,41
3,2
3,3
3,5
3,6
3,8
3,9
3,10
3,14
3,15
3,17
3,27
3,28
3,31
3,38
3,39
3,41
4,2
4,3
4,5
4,6
4,8
4,9
4,10
4,14
4,15
4,17
4,27
4,28
4,31
4,38
4,39
4,41
5,2
5,3
5,5
5,6
5,8
5,9
5,10
5,14
5,15
5,17
5,27
5,28
5,31
5,38
5,39
5,41
6,2
6,3
6,5
6,6
6,8
6,9
6,10
6,14
6,15
6,17
6,27
6,28
6,31
6,38
6,39
6,41
7,2
7,3
7,5
7,6
7,8
7,9
7,10
7,14
7,15
7,17
7,27
7,28
7,31
7,38
7,39
7,41
8,2
8,3
8,5
8,6
8,8
8,9
8,10
8,14
8,15
8,17
8,27
8,28
8,31
8,38
8,39
8,41
9,2
9,3
9,5
9,6
9,8
9,9
9,10
9,14
9,15
9,17
9,27
9,28
9,31
9,38
9,39
9,41
10,2
10,3
10,5
10,6
10,8
10,9
10,10
10,14
10,15
10,17
10,27
10,28
10,31
10,38
10,39
10,41
11,2
11,3
11,5
11,8
11,10
11,31
11,38
11,41
12,2
12,3
12,4
12,5
12,6
12,8
12,9
12,10
12,31
12,41
13,2
13,3
13,4
13,5
13,8
13,10
13,31
13,41
14,2
14,3
14,4
14,5
14,6
14,8
14,10
14,31
14,41
15,2
15,3
15,4
15,5
15,8
15,10
15,31
15,37
15,41
16,2
16,3
16,5
16,6
16,8
16,9
16,10
16,18
16,23
16,31
16,38
16,41
17,2
17,3
17,4
17,5
17,6
17,8
17,9
17,10
17,20
17,27
17,31
17,41
18,2
18,3
18,4
18,5
18,8
18,10
18,31
18,39
18,41
19,2
19,3
19,4
19,5
19,7
19,8
19,10
19,31
19,41
20,2
20,3
20,4
20,5
20,6
20,8
20,9
20,10
20,27
20,28
20,31
20,38
20,41
21,2
21,3
21,4
21,5
21,8
21,10
21,31
21,37
21,41
22,2
22,3
22,4
22,5
22,6
22,8
22,10
22,17
22,20
22,27
22,31
22,41
23,2
23,3
23,5
23,6
23,8
23,10
23,31
23,41
24,2
24,3
24,4
24,5
24,8
24,10
24,20
24,31
24,41
25,2
25,3
25,5
25,6
25,8
25,27
25,31
25,41
26,3
26,4
26,5
26,8
26,10
26,31
26,39
26,41
27,2
27,3
27,5
27,6
27,8
27,9
27,10
27,31
27,41
28,2
28,3
28,5
28,8
28,9
28,10
28,31
28,39
28,41
29,2
29,3
29,8
29,10
29,11
29,17
29,18
29,31
29,41
30,2
30,3
30,4
30,5
30,6
30,8
30,10
30,31
30,39
30,41
32,2
32,3
32,4
32,5
32,6
32,8
32,10
32,20
32,29
32,31
32,37
32,38
32,41
33,2
33,3
33,5
33,6
33,8
33,10
33,31
33,41
35,2
35,3
35,4
35,5
35,8
35,10
35,27
35,31
35,41
36,2
36,3
36,4
36,5
36,8
36,10
36,31
36,37
36,41
37,2
37,3
37,4
37,5
37,8
37,10
37,31
37,41
38,2
38,3
38,5
38,8
38,10
38,31
38,41
39,2
39,3
39,5
39,8
39,10
39,31
39,41
40,2
40,3
40,5
40,8
40,10
40,31
40,41
41,2
41,3
41,5
41,8
41,27
41,31
41,41
43,2
43,5
43,8
43,10
43,20
43,31
43,41
44,2
44,3
44,5
