Number,Party
1,State for the People
2,European Georgia
3,Democratic Movement - Free Georgia
4,United Democratic Movement
5,United National Movement
6,Republican Party of Georgia
7,For United Georgia
8,Alliance of Patriots
9,Leftist Alliance
10,Labour Party
11,National Democratic Party of Georgia
14,Georgian Unity and Development Party
15,Socialist Workers Party
17,Georgia
18,Union of Georgian Traditionalists
20,National Forum
22,Merab Kostava Society
23,New Christian Democrats
27,Unity - New Georgia
28,The Lord Our Righteousness
29,New Rights
31,Freedom Party
34,Motherland
37,United Communist Party
38,Party of People
39,Progressive Democratic Movement
41,Georgian Dream
